Date,HH,MM,SS,Fc5.[uV],Fc3.[uV],Fc1.[uV],Fcz.[uV],Fc2.[uV],Fc4.[uV],Fc6.[uV],C5..[uV],C3..[uV],C1..[uV],Cz..[uV],C2..[uV],C4..[uV],C6..[uV],Cp5.[uV],Cp3.[uV],Cp1.[uV],Cpz.[uV],Cp2.[uV],Cp4.[uV],Cp6.[uV],Fp1.[uV],Fpz.[uV],Fp2.[uV],Af7.[uV],Af3.[uV],Afz.[uV],Af4.[uV],Af8.[uV],F7..[uV],F5..[uV],F3..[uV],F1..[uV],Fz..[uV],F2..[uV],F4..[uV],F6..[uV],F8..[uV],Ft7.[uV],Ft8.[uV],T7..[uV],T8..[uV],T9..[uV],T10.[uV],Tp7.[uV],Tp8.[uV],P7..[uV],P5..[uV],P3..[uV],P1..[uV],Pz..[uV],P2..[uV],P4..[uV],P6..[uV],P8..[uV],Po7.[uV],Po3.[uV],Poz.[uV],Po4.[uV],Po8.[uV],O1..[uV],Oz..[uV],O2..[uV],Iz..[uV]
12/08/2009,16,15,0,-16,-29,2,22,-12,-23,-46,-36,-26,-18,-4,-4,-20,-22,-33,-39,-23,-12,-16,-27,-25,-49,-44,-29,-73,-67,-41,-39,-62,-39,-42,-16,-36,-38,-46,-60,-69,-25,-47,-80,-71,-32,-52,1,-58,-30,-56,-43,-12,-18,-31,-26,-37,-33,-30,-56,-52,-35,-22,-33,-53,-21,-11,15
12/08/2009,16,15,0.00625,-56,-54,-27,-4,-31,-36,-56,-75,-55,-43,-26,-23,-28,-22,-45,-54,-40,-25,-24,-32,-24,-28,-52,-39,-67,-65,-48,-48,-68,-47,-34,-15,-44,-45,-49,-63,-69,-24,-74,-70,-65,-21,-49,-4,-36,-26,-37,-27,4,-6,-21,-15,-25,-20,-20,-35,-29,-18,-3,-9,-53,-12,1,21
12/08/2009,16,15,0.0125,-55,-55,-29,-5,-29,-34,-52,-53,-42,-35,-21,-16,-19,-11,-16,-35,-22,-11,-13,-24,-16,-52,-57,-46,-76,-74,-54,-51,-76,-39,-53,-17,-51,-50,-51,-66,-71,-18,-69,-60,-49,14,-50,-31,-42,-26,-37,-7,24,10,-7,-3,-19,-14,-20,-23,-12,-6,4,-7,-45,2,18,35
12/08/2009,16,15,0.01875,-50,-44,-13,13,-16,-25,-45,-44,-21,-11,4,-3,-8,5,-6,-12,3,10,6,-10,-3,-73,-67,-51,-81,-76,-47,-54,-81,-36,-43,-10,-31,-33,-37,-52,-62,-22,-52,-54,-42,-2,-31,-27,-33,-41,-32,5,45,32,16,16,-1,-5,-16,-12,4,14,20,7,-29,16,35,47
12/08/2009,16,15,0.025,-36,-28,13,42,9,-10,-46,-34,-12,8,26,14,-4,-12,-3,-3,15,24,22,0,-8,-62,-69,-51,-79,-72,-39,-52,-82,-37,-35,3,-21,-25,-28,-45,-58,-33,-60,-73,-40,-50,-56,6,-30,-21,-30,6,46,37,23,22,8,1,-9,-7,6,20,24,6,-13,29,40,50
12/08/2009,16,15,0.03125,-45,-29,12,50,13,-7,-43,-44,-15,7,25,20,3,-17,-10,-7,15,27,27,8,-2,-82,-83,-70,-87,-82,-41,-49,-86,-45,-36,2,-17,-21,-26,-40,-53,-37,-63,-69,-20,-22,-45,-6,-35,-5,-27,5,38,35,25,27,15,5,-8,-1,11,25,23,-4,-3,30,29,39
12/08/2009,16,15,0.0375,-27,-11,25,54,17,-3,-33,-21,-2,20,32,25,16,0,5,8,30,37,35,23,16,-70,-71,-60,-78,-74,-32,-43,-98,-35,-24,15,-2,-12,-19,-31,-39,-33,-23,-62,-9,-19,-82,-11,-30,-5,-6,24,57,51,38,41,25,21,12,20,30,41,41,29,10,39,33,46
12/08/2009,16,15,0.04375,-4,-4,22,46,18,4,-26,3,8,22,34,32,17,3,20,16,32,39,36,24,16,-66,-71,-55,-70,-68,-37,-44,-64,-30,-37,16,-16,-21,-21,-34,-33,-12,-45,-51,-89,-14,-71,-10,-34,12,-2,26,61,50,35,37,24,24,26,20,29,36,39,31,21,48,45,59
12/08/2009,16,15,0.05,-38,-20,16,52,28,8,-15,-35,-1,15,32,35,6,5,2,3,24,34,27,12,7,-51,-60,-45,-64,-59,-22,-17,-43,-20,-32,21,-7,1,-2,-17,-10,23,-58,-30,-41,43,4,-39,-9,-5,11,25,54,46,28,25,8,4,-3,36,37,36,22,5,22,44,44,60
12/08/2009,16,15,0.05625,-21,-8,39,81,52,31,8,-26,6,27,41,40,5,17,6,9,33,35,26,-1,-1,-21,-23,-7,-35,-31,10,8,-22,17,3,48,15,23,21,2,10,34,-17,-20,8,51,17,-7,4,-28,15,31,56,48,21,12,-9,-12,-21,42,38,32,12,-4,25,42,40,64
12/08/2009,16,15,0.0625,-4,-9,28,65,40,23,3,-18,-5,8,19,18,-16,-6,4,-7,12,5,-3,-30,-31,-42,-31,-21,-40,-36,2,-4,-34,6,-2,34,2,8,11,-10,-1,27,-31,-41,-14,-35,-40,-4,-5,-44,-3,7,29,17,-7,-20,-40,-33,-31,15,10,-1,-16,-23,14,26,16,53
12/08/2009,16,15,0.06875,-15,-11,20,53,29,9,-17,-28,-13,-1,7,1,-26,-24,-1,-12,1,-7,-21,-42,-39,-35,-30,-28,-20,-16,8,-1,-40,20,25,42,23,26,22,4,6,26,-3,-50,16,-49,-8,-14,7,-11,8,20,43,24,4,-10,-29,-17,-12,26,23,12,3,1,2,18,5,53
12/08/2009,16,15,0.075,26,21,49,73,51,35,8,14,21,25,29,24,10,-1,34,23,30,24,14,-3,-1,-7,-11,-8,1,3,31,26,-26,30,49,70,41,42,43,23,30,36,32,-25,24,1,24,3,13,30,27,48,72,61,44,36,20,28,29,44,48,44,43,34,7,34,31,69
12/08/2009,16,15,0.08125,42,29,53,83,62,54,26,44,41,37,49,54,48,38,59,44,52,50,52,39,41,4,-8,-4,1,3,33,34,-28,52,35,71,35,42,49,30,40,37,23,-2,-4,62,25,2,36,34,36,60,80,76,58,55,42,46,36,49,52,54,58,43,21,53,68,68
12/08/2009,16,15,0.0875,32,26,54,91,71,69,44,36,42,43,57,67,68,70,61,45,54,57,67,59,64,-10,-21,-6,-8,-5,36,33,-23,48,33,79,40,51,58,37,49,41,20,14,51,79,25,-20,48,37,43,58,76,74,61,57,50,48,27,37,41,45,54,25,25,53,76,46
12/08/2009,16,15,0.09375,25,15,53,91,72,70,43,20,29,35,54,63,61,61,39,27,42,45,58,51,53,-41,-26,-6,-29,-25,23,23,-2,19,8,62,23,36,43,18,25,29,-3,-13,-9,13,-3,15,15,8,12,28,50,46,40,42,35,32,10,22,17,27,41,15,12,37,59,33
